id,latitude,longitude,reason
7446,21.00747900308165,-156.66675567626956,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7458,-26.508272387837287,28.067858219146732,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7576,53.9126048592385,51.4876413345337,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7602,55.237808438093275,57.06633567810059,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7609,43.432478446130375,-82.53101348876955,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7649,37.0888889,-25.2825,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7660,36.9569444,-25.233055555555556,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7711,38.163885,26.773451,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7734,29.5960902667517,32.34182863729075,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7738,-21.203497788712898,-159.77416992187503,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7739,-21.202857626535472,-159.77275371551517,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7741,-3.817581960012334,-32.387866973876946,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7742,-3.807990199893265,-32.389583587646484,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7743,-3.80623455364905,-32.389497756958015,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7744,20.746121167913785,-156.8717193603516,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7784,-23.617446799776793,-46.87111400133964,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7799,23.55335561723078,-75.7867843285203,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7827,24.4833,-46.6833,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7828,43.834302,-121.835729,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7977,13.730380441803828,107.01486110687257,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7978,40.647785389792105,-73.87768703581868,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7984,57.62125487830089,11.634382009506227,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7985,53.63543586070093,20.821180347120393,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7986,44.855192,13.817528,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7992,53.61603412857157,-9.872078318148853,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8002,19.723887517173974,37.43738078861497,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8007,-35.510683944043684,138.21684837341311,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8008,-35.52336884,138.1853027,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8014,57.636427445301216,11.591863632202148,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8021,57.601725095099816,11.665832502767445,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8022,57.6222814533633,11.634770390228372,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8023,57.692981140905985,11.668437481712317,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8033,57.64304882461037,11.611158369923944,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8034,23.5099515016202,-75.71034444523582,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8035,23.512523564106093,-75.72883033967317,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8055,-21.93078464147599,113.9546585083008,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8077,34.024385357812,-77.691434967967,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8081,26.006,-80.091,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8085,43.929704472151855,-124.10302162170412,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8094,26.1527,-80.0891,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8109,55.83300457163609,37.61856079101563,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8111,56.14316882488454,37.46570491581224,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
8112,55.75552634324143,37.6648235321045,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
