id,title,latitude,longitude,coordinate_source
571,Portia,44.44603621377982,-63.601226806640625,PADI_MAP_API
572,National Aquarium in Baltimore,39.28506683286448,-76.6082614660263,PADI_MAP_API
573,Gildenburgh Water,52.554244,-0.106169,PADI_MAP_API
574,Dosthill Quarry,52.59641,-1.6878,PADI_MAP_API
575,Koh Bon,8.827854,97.79508,PADI_MAP_API
577,Three Trees,8.680706,97.651842,PADI_MAP_API
579,Kata Beach South,7.814345,98.297917,PADI_MAP_API
581,Koh Tachai Pinnacle,9.05802,97.811724,PADI_MAP_API
585,Samaesan,12.526807,100.957423,PADI_MAP_API
588,Arlington Pool (Yorktown Highschool),38.904137,-77.1434,PADI_MAP_API
593,Hood College (Huntsinger Aquatics Center),39.424028,-77.419563,PADI_MAP_API
594,Annapolis YMCA Pool,39.0504,-76.519644,PADI_MAP_API
596,"Les Iles, Sion",46.213769,7.33087,PADI_MAP_API
597,Lac des Bousses,46.254735,7.45491,PADI_MAP_API
599,Martha's Quarry,36.22166868359653,-86.43801569938658,PADI_MAP_API
600,Bellevue Quarry,36.0896153381823,-87.0216965675354,PADI_MAP_API
601,Baie de Ngor,14.75388433389407,-17.508838176727295,PADI_MAP_API
602,White Star Quarry,41.37146268793953,-83.31716895103455,PADI_MAP_API
604,Cedar Hills,44.806769647809716,-81.00489020347594,PADI_MAP_API
605,St Clair River,42.99670648242824,-82.42248058319092,PADI_MAP_API
606,Lake Ouachita,34.574270506263034,-93.43754053115845,PADI_MAP_API
607,Greers Ferry Lake,35.51769118790059,-92.11074468679726,PADI_MAP_API
608,Nudi Garden,6.007581336454326,116.00914478302003,PADI_MAP_API
609,Rons Reef,6.004636432258074,116.00536823272705,PADI_MAP_API
610,Sapi Slope,6.006343625036563,116.00459575653078,PADI_MAP_API
612,Ribbon Reef,6.013300380250722,116.00335121154785,PADI_MAP_API
614,Padang Point,6.010568904144487,116.01330757141113,PADI_MAP_API
615,Mangrove corner,5.995801624171918,116.03673934936522,PADI_MAP_API
629,South Reef,5.961485362142948,116.01292133331297,PADI_MAP_API
630,The Rock,5.967546350905828,116.0122776031494,PADI_MAP_API
648,"Genteng Kecil House Reef, Pulau Seribu, Jakarta",-5.623684129764767,106.54808163642883,PADI_MAP_API
649,"Genteng Kecil Reef 1, Pulau Seribu, Jakarta",-5.6244635646916015,106.5492296218872,PADI_MAP_API
650,"Genteng Kecil, West Reef, Pulau Seribu, Jakarta",-5.624783880112227,106.54105424880981,PADI_MAP_API
651,"Bunder 1, Pulau Seribu, Jakarta",-5.628115150029902,106.57408833503723,PADI_MAP_API
652,"Bunder 2, Pulau Seribu, Jakarta",-5.627570616828814,106.57045125961304,PADI_MAP_API
653,"Matahari Reef, Pulau Seribu, Jakarta",-5.6070167853222594,106.54189109802245,PADI_MAP_API
657,Shark & Yolanda Reef - Ras Mohammed,27.725209092218293,34.25889015197754,PADI_MAP_API
659,Wood House - Straits of Tiran,28.001146326353883,34.4655704498291,PADI_MAP_API
660,Thomas Reef - Straits of Tiran,27.992279327926045,34.46093559265137,PADI_MAP_API
664,Dover YMCA,39.573036,-76.737665,PADI_MAP_API
665,Indian River Inlet,38.5917952,-75.168384,PADI_MAP_API
669,Vinkeveense Plas,52.14064,4.57719,PADI_MAP_API
670,Red Sea College - House Reef,27.90939071085247,34.32711482048035,PADI_MAP_API
672,Ras Za'atar - Ras Mohammed,27.76664632824637,34.25588607788086,PADI_MAP_API
673,Anemone City - Ras Mohammed,27.727070497706297,34.2584502696991,PADI_MAP_API
674,"Pulau Genteng Besar, Pulau Seribu, Jakarta",-5.617053552086579,106.54845714569092,PADI_MAP_API
675,Jackfish Alley - Ras Mohammed,27.75525360939757,34.25236701965332,PADI_MAP_API
676,Shark Observatory - Ras Mohammed,27.73212272380552,34.260789155960076,PADI_MAP_API
677,"Bintang Reef, Pulau Seribu, Jakarta",-5.586259350188154,106.5413761138916,PADI_MAP_API
678,Lundy Island,51.16642774275134,-4.678802490234375,PADI_MAP_API
679,SS Dunraven Wreck,27.704655543784973,34.123878479003906,PADI_MAP_API
680,2WIN House Reef,4.596060007408008,118.86107325553895,PADI_MAP_API
681,Mataking Wreck Post,4.583109048573315,118.94636750221252,PADI_MAP_API
682,Near Garden,27.908262471489692,34.34759616851806,PADI_MAP_API
683,Middle Garden,27.91278483898988,34.34952735900879,PADI_MAP_API
684,Far Garden,27.91445342159142,34.362616539001465,PADI_MAP_API
686,Temple,27.84731059323184,34.3088436126709,PADI_MAP_API
687,Ras Katy,27.846836272730865,34.303157329559326,PADI_MAP_API
688,Tower,27.88270801795547,34.324153661727905,PADI_MAP_API
689,Ras Nasrani,27.964119878717483,34.41699028015136,PADI_MAP_API
690,Ras Ghazlani - Ras Mohammed,27.806283691459722,34.26361083984375,PADI_MAP_API
691,Koh Haa,7.4333918296729,98.897443402528,PADI_MAP_API
692,Hin Bida,7.655,98.7656,PADI_MAP_API
693,Hin Muang,7.159417,98.831317,PADI_MAP_API
696,Anthias Divers House Reef,27.913694978145696,34.33104157447815,PADI_MAP_API
697,3 Rocks (Sharm rock),25.482583142378857,56.36593580245972,PADI_MAP_API
698,Shark Island,25.35207363018928,56.378520727157586,PADI_MAP_API
699,Hole in the Wall,25.34084562472647,56.37818813323974,PADI_MAP_API
701,Martini Rock,25.335531835715592,56.381449699401855,PADI_MAP_API
702,Snoopy Island,25.49255837439694,56.36411190032959,PADI_MAP_API
703,Dibba Island,25.60325681776105,56.35121583938598,PADI_MAP_API
704,Coral Gardens,25.353799431523395,56.380805969238274,PADI_MAP_API
705,Anenome Gardens,25.35193789196091,56.38007640838623,PADI_MAP_API
706,Inchcape 2,25.338382693140638,56.380677223205566,PADI_MAP_API
708,Inchcape 1,25.5100662937171,56.37737274169921,PADI_MAP_API
709,Artificial Reef,25.604263049906766,56.34982109069824,PADI_MAP_API
710,Islas Marietas,20.696388611365716,-105.56831359863281,PADI_MAP_API
733,Cuevas del cabo de salou,41.055408088140396,1.1806869506835938,PADI_MAP_API
